product-name,description,category,sub-category,brand
HD Lace-Up Sneaker,<p>HD Lace-Up Sneaker in black rubber</p><p>Rubber</p><p>Sneaker</p><p>Balenciaga logo embossed at the edge of the toe</p><p>Embossed size on the upper</p><p>HD branding on the tongue</p><p>Sporty B logo at back</p><p>Molded sole and upper</p><p>Made in China</p><p>Wipe with a soft cloth</p><p>Material: 100% EVA,Women,Shoes,Balenciaga
,,,,
,,,,
,,,,
,,,,
Cocoon Sleeve Denim Jacket,"<p>Denim cocoon jacket with exploded sleeves, contrasting topstitching details and metal buttons fastenings.</p><p>100% Cotton.</p>",Women,Coats & Jackets,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Swift Round Sunglasses,"<p>Swift Round Sunglasses in black bio-based injected nylon with black lenses</p><p>Dimensions: - Temple length: 4,7 inch - Nose bridge length: 0,5 inch</p><p>Weight: 50,990 grams</p><p>Swift Round shape</p><p>Bio-based injected nylon frame and temples (65% bio-based)</p><p>Standard fit</p><p>Lasered logo on the right lens</p><p>Balenciaga logo engraved and enameled on the left temple</p><p>Lens material: Nylon</p><p>Lens filter category: 3</p><p>100% UVA/UVB</p><p>Not suitable for conversion to optical</p><p>Made in Japan</p><p>BB0158S</p><p>Material: 100%  bio injected nylon",Women,Accessories,Balenciaga
Hourglass Small Handbag Box,"<p>Hourglass Small Handbag in black shiny box calfskin</p><p>Dimensions : L9 x H5,5 x W3,9 inch</p><p>Shiny box calfskin</p><p>Hourglass shape</p><p>Curvilinear base</p><p>Long flap</p><p>Adjustable and removable crossbody strap (21,6 inch)</p><p>1 handle</p><p>Magnet closure with aged-gold B logo (brass)</p><p>1 back pocket</p><p>1 inner patch pocket</p><p>1 inner zipped pocket</p><p>Nappa lambskin lining</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 100% calfskin",Women,Bags,Balenciaga
BB 2.0 Earrings,"<p>BB 2.0 Earrings in gold aluminium, brass and rhinestones</p><p>Dimensions : L2,1 x H1,5 x W0,2 inch</p><p>Aluminium, brass and glass</p><p>Earrings</p><p>BB logo with white rhinestones</p><p>Round stoppers at the back closure</p><p>For pierced ears</p><p>Sold as a pair</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 50% aluminium, 30% brass, 20% glass",Women,Accessories,Balenciaga
Corset T-Shirt,<p>Trompe l'oeil cropped t-shirt with inbuilt tulle corset.</p><p>100% Cotton.</p>,Women,Tops,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
Princetown leather slipper,"<p>Princetown slipper in a hibiscus red leather with symbolic gold-tone Horsebit.</p><p>These shoes run small, we recommend sizing up half a size.</p><p>Leather sole. Made in Italy.</p>",Women,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Allover Logo Strass Sweater,<p>Allover Logo Strass Sweater in silver and black printed wool knit with strass</p><p>Allover Logo printed wool knit with strass</p><p>Regular fit</p><p>Crewneck</p><p>Button closure at back</p><p>Made in Italy</p><p>Dry cleaning</p><p>Material: 100% wool,Women,Tops,Balenciaga
,,,,
Pouch,"<p>Leather clutch. Single compartment. Magnetic frame closure.</p><p>Colour: Black. Hardware: Silver finish. </p><p>Height: 18 cm | 7.1"". Width: 40 cm | 15.7"". Depth: 18 cm | 7.1.</p><p>90% Calfskin, 10% Brass. Lining: Suede.</p>",Women,Bags,Bottega Veneta
Peak Shoulder Leaf Crepe Jacket,"<p>Ivory leaf crepe peak shoulder jacket. A classic tailored style for the McQueen house. The jacket has a single button fastening, two side flap pockets and subtle padded shoulders.</p><p> 52% Viscose, 48% Acetate.</p>",Women,Coats & Jackets,Alexander McQueen
,,,,
,,,,
,,,,
GG Marmont medium matelassé shoulder bag,"<p>Made in matelassé chevron leather with a heart on the back in a vibrant hibiscus red, the recognizable medium GG Marmont chain shoulder bag has a softly structured shape and a flap closure with Double G hardware.</p><p>Designed to be worn multiple ways, the chain strap slides to change between a shoulder and a top handle bag.</p><p>Hibiscus red matelassé chevron leather with heart. Palladium-toned hardware. Microfibre lining with a suede-like finish.</p><p>Interior zipper pocket. Sliding chain strap can be worn as a shoulder strap with 55cm drop or can be worn as a top handle with 30cm drop. Flap with spring closure. The Gucci card case wallet will fit inside this product.</p><p>Medium size: W31cm x H19cm x D7cm. This item can fit a cell phone up to W78mm x H158mm x D8mm.  Weight: 0.8kg approximately. Made in Italy.</p>",Women,Bags,Gucci
Fetish 80mm Bootie,<p>Fetish 80mm Bootie in black soft sheepskin</p><p>Soft sheepskin</p><p>Bootie</p><p>Five finger shape at toe</p><p>Inner zipped closure</p><p>80mm arch</p><p>Tone-on-tone heel and outsole</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 100% sheepskin,Women,Shoes,Balenciaga
,,,,
,,,,
,,,,
,,,,
Leather Loop Bag,"<p>The Loop bag in leather is inspired from the straps of a criss cross Courrèges dress from 1976.</p><p>Iconic logo in metal on the middle front. It can either be carried by hand with its criss cross handles or as a crossbody with its detachable shoulder strap.</p><p>Colour: Black.</p><p>100% Cowhide leather. Silver hardware. Coton lining. Interior : 1 zipped pocket.</p><p>Width x Height x Depth: 17,5cm x 15,6cm x 7,5cm.</p>",Women,Bags,Courrèges
Large Pants,<p>Large Pants Large Pants in black denim</p><p>Japanese denim</p><p>Unifit</p><p>Large fit</p><p>Mid-waist</p><p>5 pockets</p><p>5 large belt loops</p><p>Balenciaga engraved flex button</p><p>Balenciaga Jeans leather patch at back</p><p>Made in Italy</p><p>Dry cleaning</p><p>Material: 100% cotton,Women,Bottoms,Balenciaga
,,,,
Reedition Vinyl Jacket,"<p>Inspired by the House's iconic 1971 model, this iconic vinyl jacket features a white AC logo inlay on the chest.</p><p>With two side pockets and a visible white lacquered snap closure on the middle front and cuffs as well as a stand-up collar. This model is lined.</p><p>The cut of the vinyl jacket from the Reissue collection is close to that of the iconic 1971 model. It is close to the body and was designed to be worn open.</p><p>For more comfort, we recommend that you choose a size larger than your usual size.</p><p>Colour: Heritage white.</p><p>Main fabrics: 88% Coton 10% Polyurethane 2% Elasthane. Lining: 55% Polyamide Nylon 25% Polyurethane 20% Elasthane.</p>",Women,Coats & Jackets,Courrèges
,,,,
,,,,
,,,,
,,,,
Trench,<p>Double cotton canvas trench coat. Button closure.Sculptural fit.</p><p>Colour: Black.</p><p>100% Cotton.</p>,Women,Coats & Jackets,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
Small Arco Tote Bag,"<p>Small intreccio leather tote bag. Single detachable interior zipped pocket. Leather string closure. Lining: Bonded lambskin.</p><p>Colour: White/Black. Hardware: Silver finish.</p><p>Height: 20 cm | 7.9"". Width: 30 cm | 11.8"". Depth: 11.5 cm | 4.5"". Handle drop: 15 cm | 5.9"".</p><p>100% Lamb Skin.</p>",Women,Bags,Bottega Veneta
Curve,"<p>Twisted and padded intreccio leather mules. Unlined.</p><p>Colour: Dark Green. Rubber-injected leather outsole.</p><p>Heel: 9.5 cm | 3.7"".</p><p>100% Lamb Skin.</p>",Women,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Pouch,"<p>Soft voluminous clutch. Magnetic frame covered in folds of Nappa. Single compartment lined in Nappa.</p><p>Colour: Kiwi. Hardware: Gold finish.</p><p>Height: 18 cm | 7.1"". Width: 40 cm | 15.7"". Depth: 18 cm | 7.1"".</p><p>100% Calf Skin.</p>",Women,Bags,Bottega Veneta
Leather Biker Jacket,<p>Zip detail biker jacket in grainy leather. Peplum waist with frock detail on back. All hardware in silver finish.</p><p>100% Lambskin.</p>,Women,Coats & Jackets,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
Sprint Runner ,"<p>Sprint Runner with a pieced and patched upper silhouette in white nappa leather featuring an embossed Seal logo on the side and an Alexander McQueen signature on the heel counter.</p><p>The sneaker features an oversized runner sole, large flat laces, a padded heel counter and tongue with an Alexander McQueen signature.</p><p>The sneakers come with an additional set of shoelaces.</p><p>100% Calf Leather.</p>",Women,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Stretch,"<p>Mesh square-toe court shoe with chain detailing. Mesh and calfskin upper. Delicate gold-finish chain threaded through back and front loops.</p><p>Colour: Beige.</p><p>Rubber-injected leather sole for comfort and stability. Heel Height: 9 cm | 3.5"".</p><p>50% Calf, 50% Polyamide.</p>",Women,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Hourglass XS Handbag Metallized Crocodile Embossed With Rhinestones,"<p>Hourglass XS Handbag in silver metallized crocodile embossed calfskin, aged-silver hardware</p><p>Dimensions : L7,4 x H5,1 x W3,1 inch</p><p>Metallized crocodile embossed calfskin</p><p>Handbag</p><p>Curvilinear base</p><p>One handle</p><p>Adjustable and removable crossbody strap (21,6 inch)</p><p>Studded magnet closure</p><p>Aged-silver B logo hardware with rhinestones</p><p>1 back pocket</p><p>Nappa lambskin lining</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 100% calfskin",Women,Bags,Balenciaga
Gucci logo t-shirt,<p>Black cotton. Crewneck. Oversize fit.</p><p>Length: 72cm based on a size small.</p><p>100% cotton.</p><p>Made in Italy.</p>,Women,Tops,Gucci
,,,,
,,,,
,,,,
,,,,
Reedition Vinyl Jacket,"<p>Inspired by the House's iconic 1971 model, this iconic vinyl jacket features a white AC logo inlay on the chest.</p><p>With two side pockets and a visible white lacquered snap closure on the middle front and cuffs as well as a stand-up collar. This model is lined.</p><p>The cut of the vinyl jacket from the Reissue collection is close to that of the iconic 1971 model. It is close to the body and was designed to be worn open.</p><p>For more comfort, we recommend that you choose a size larger than your usual size.</p><p>Colour: Dark green.</p><p>Main fabrics: 88% Coton 10% Polyurethane 2% Elasthane. Lining: 55% Polyamide Nylon 25% Polyurethane 20% Elasthane.</p>",Women,Coats & Jackets,Courrèges
,,,,
,,,,
,,,,
,,,,
Sock 90mm Bootie,"<p>Sock 90mm Bootie in black smooth calfskin and black recycled knit</p><p>Smooth calfskin and recycled knit</p><p>Bootie</p><p>Round toe</p><p>90mm arch</p><p>Champagne heel</p><p>Ribbed finishing</p><p>Sporty B logo on exterior knit</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 65% polyester, 30% calfskin, 5% elastane",Women,Shoes,Balenciaga
,,,,
,,,,
,,,,
,,,,
Small Arco Tote Bag,"<p>Intreccio shearling tote. Single detachable interior zipped pocket. Open top and string closure.</p><p>Colour: Parakeet. Hardware: Gold finish.</p><p>Height: 20 cm | 7.9"". Width: 30 cm | 11.8"". Depth: 11.5 cm | 4.5"". Handle drop: 15 cm | 5.9"".</p><p>100% Lamb Skin.</p>",Women,Bags,Bottega Veneta
Hourglass Coat,"<p>Hourglass Coat in black wool gabardine</p><p>Wool gabardine</p><p>Hourglass fit</p><p>Peak lapel</p><p>6 buttons double-breasted at front</p><p>2 flap pockets</p><p>1 piped pocket at chest</p><p>4 buttons at cuffs</p><p>Knee length</p><p>Made in Italy</p><p>Dry cleaning</p><p>Material: 82% wool, 17% polyester, 1% elastane",Women,Coats & Jackets,Balenciaga
,,,,
,,,,
Double Knot,"<p>Mini top handle bag in Nappa leather. Knot details on handle. One zipped compartment. Zip closure. Light Calf interior.</p><p>Colour: Kiwi. Hardware: Gold finish.</p><p>Height: 23 cm / 9.1"". Width: 30 cm / 11.8"". Depth: 15 cm / 5.9"".Handle drop: 13 cm / 5.1"".</p><p>100% Calf Skin.</p>",Women,Bags,Bottega Veneta
Curve,"<p>Twisted and padded intreccio leather mules. Unlined.</p><p>Colour: Black. Rubber-injected leather outsole.</p><p>Heel: 9.5 cm | 3.7"".</p><p>100% Lamb Skin.</p>",Women,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Oversized sneaker ,"<p>White smooth calf leather lace-up sneaker with rounded toe and trimmed with black suede heel detail. Large flat laces and Alexander McQueen signature on tongue and heel counter.</p><p>Oversized rubber sole. 100% Calf Leather.</p><p>To lessen our environmental impact and to reduce cotton consumption, we will no longer be providing a dust bag with our sneakers.</p>",Women,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
T-Shirt,<p>Sunrise light cotton T-shirt. 'Bottega' tonal embroidery on back. Regular fit.</p><p>Colour: Parakeet.</p><p>100% Cotton.</p>,Women,Tops,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket.</p><p>Colour: Heritage white.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
Pants Wool Gabardine,<p>Wool gabardine wide leg trousers. Zip and hook closure.</p><p>Colour: Black.</p><p>100% Virgin Wool.</p>,Women,Bottoms,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
Mini Jewelled Satchel,"<p>Shiny black embossed croc calfskin leather Mini Jewelled Satchel.</p><p>This bag can be worn in multiple ways: carry it in your hand using the ring handle or by doubling up the strap. Alternatively, wear over the shoulder or across the body using the leather and chain strap.</p><p>Silver four-ring embellishment encrusted with Swarovski crystals. One main compartment and one card slot. Adjustable leather and chain strap. Brass hardware with antique silver finish. Black suede lining. Can accommodate a smartphone.</p><p>Dimensions: 9,5 x 17,5 x 4 cm / 3.7 x 6.8 x 1.5 inches. 100% Calf Leather.</p><p>Due to the appearance of the product, we recommend stowing it in your hold luggage when passing through airport security. For the same reason we recommend not taking the bag to public places, such as law courts and sports stadiums, where there may be security checks.</p>",Women,Bags,Alexander McQueen
Stretch,"<p>Mesh and leather pumps. Chain embellishment. Unlined.</p><p>Colour: Parakeet. Hardware: Gold finish.</p><p>Rubber-injected leather outsole. Heel: 9 cm I 3.5"".</p><p>50% Calf, 50% Polyamide.</p>",Women,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Puddle Ankle Boot,"<p>Glitter rubber ankle boots. Lining: Cotton.</p><p>Colour: Gold. One-piece moulded shoe.</p><p>Flatform: 5.5 cm | 2.2"". Take care when using on particularly slippery surfaces.</p><p>100% Rubber.</p>",Women,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Reedition Vinyl Jacket,"<p>Inspired by the House's iconic 1971 model, this iconic vinyl jacket features a white AC logo inlay on the chest.</p><p>With two side pockets and a visible white lacquered snap closure on the middle front and cuffs as well as a stand-up collar. This model is lined.</p><p>The cut of the vinyl jacket from the Reissue collection is close to that of the iconic 1971 model. It is close to the body and was designed to be worn open.</p><p>For more comfort, we recommend that you choose a size larger than your usual size.</p><p>Colour: Heritage red.</p><p>Main fabrics: 88% Coton 10% Polyurethane 2% Elasthane. Lining: 55% Polyamide Nylon 25% Polyurethane 20% Elasthane.</p>",Women,Coats & Jackets,Courrèges
,,,,
,,,,
,,,,
,,,,
Double Knot,"<p>Mini leather top handle bag. Single compartment. Zip closure. Lining: Calfskin.</p><p>Colour: Black. Hardware: Silver finish.</p><p>Height: 23 cm | 9.1"". Width: 30 cm | 11.8"". Depth: 15 cm | 5.9"". Handle drop: 13 cm | 5.1"".</p><p>100% Calf Skin.</p>",Women,Bags,Bottega Veneta
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket. </p><p>Colour: Sky blue.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
Lace Corset,"<p>Black lace corset with floral detailing.</p><p>Finished with a back zip fastening.</p><p>74% Acetate, 26% Silk.</p>",Women,Tops,Alexander McQueen
,,,,
,,,,
,,,,
Curve,"<p>Twisted and padded intreccio leather mules. Unlined.</p><p>Colour: Optic White. Rubber-injected leather outsole.</p><p>Heel: 9.5 cm | 3.7"".</p><p>100% Lamb Skin.</p>",Women,Shoes,Bottega Veneta
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 Tread Slick Lace-up,"<p>Black polyfaille lace-up with an oversized rubber tread sole featuring a printed McQueen Graffiti logo.</p><p>The boot is detailed with a textured rubber wrap and tonal Alexander McQueen signature, finished with a signature ribbon on the back of boot.</p><p>Round toe shape boot silhouette details rubber toe cap.</p><p>100% Polyester.</p>",Women,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
Intreccio Pattern Cotton Bathrobe,<p>Intrecciato pattern cotton terry bathrobe.</p><p>Wide side pockets. Self fabric belt.</p><p>Colour: String.</p><p>100% Cotton.</p>,Women,Swimwear,Bottega Veneta
,,,,
,,,,
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket.</p><p>Colour: Navy.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
Metallic laminate leather sandal,<p>Silver-toned metallic laminated leather.</p><p>Made in Italy.</p>,Women,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket.</p><p>Colour: Black.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
Oversized sneaker ,<p>Bi-colour crystal-embellished lace-up sneaker.</p><p>The sneaker features large flat laces and an oversized rubber sole. Finished with an Alexander McQueen signature on the heel counter.</p><p>Oversized rubber sole with signature stamp design. </p><p>100% Goatskin.</p><p>The sneakers come with an additional lace set.</p>,Women,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Small Skull Bag,"<p>Black quilted nappa leather Small Skull Bag featuring a white McQueen Graffiti print, detailed with a silver-finished skull.</p><p>Snap button fastening. One central compartment and one card pocket. Silver-finished chain strap.</p><p>Dimensions: 19 x 13 x 5 cm / 7.4 x 5.1 x 1.9 inches. Accommodates smartphones.</p><p>100% Calf Leather.</p>",Women,Bags,Alexander McQueen
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket.</p><p>Colour: Pale pink.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
The Curve,<p>The Curve in soft ivory calf and black leather inspired by the harness silhouette and finished with a high frequency debossed Seal Signature.</p><p>This bag can we worn across the body by using the leather strap or over the shoulder with the strap through the leather loop folded back.</p><p>One main compartment with a leather card compartment. Magnetic double flap closure.</p><p>Adjustable leather strap allowing the bag to be worn crossbody or over the shoulder. Brass hardware with silver finish. Black leather lining.</p><p>Dimensions: 19 x 23 x 16cm / 7.4 x 9 x 6.3 inches. Can accommodate a smartphone.</p><p>100% Calf Leather.</p>,Women,Bags,Alexander McQueen
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket.</p><p>Colour: Yellow.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
Sprint Runner ,"<p>Sprint Runner with a pieced and patched upper silhouette in white nappa leather featuring an embossed Seal logo on the side and an Alexander McQueen signature on the heel counter.</p><p>The sneaker features an oversized runner sole, large flat laces, a padded heel counter and tongue with an Alexander McQueen signature.</p><p>100% Calf Leather.</p><p>The sneakers come with an additional set of shoelaces.</p>",Women,Shoes,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mini Jewelled Satchel,"<p>Black leather Mini Jewelled Satchel featuring black hot fix crystals and silver studs.</p><p>This bag can be worn in multiple ways: carry it in your hand using the ring handle or by doubling up the strap. Alternatively, wear over the shoulder or across the body using the leather and chain strap.</p><p>Silver four-ring embellishment encrusted with Swarovski crystals. One main compartment and one card slot.</p><p>Adjustable leather and chain strap. Brass hardware with antique. Silver finishing. Suede lining.</p><p>Dimensions: 17.5 x 7.5 x 4 cm / 6.7 x 2.9 x 1.5 inches. Can accommodate a smartphone.</p><p>100% Calf Leather.</p><p>Due to the appearance of the product, we recommend stowing it in your hold luggage when passing though airport security. For the same reason we recommend not taking the bag to public places, such as law courts and sports stadiums, where there may be security checks. </p>",Women,Bags,Alexander McQueen
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket. </p><p>Colour: Chocolate.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
Jackie 1961 ostrich card case wallet,<p>Light Blue Ostrich.</p><p>Gold-toned hardware. Viscose lining.</p><p>Made in Italy.</p>,Women,Accessories,Gucci
Reedition Camera Bag,"<p>For its Reeditions collection, Courrèges presents a new version of its iconic Camera bag.</p><p>Incrusted with our signature logo in the front, it also offers an adjustable strap and an inside pocket.</p><p>Colour: Red.</p><p>Main fabric : 100% Calfskin. Lining : 100% Cotton.</p>",Women,Bags,Courrèges
GG Marmont zip around wallet,<p>A GG Marmont wallet made in matelassé leather with a chevron design and GG on the back.</p><p>Dusty pink matelassé chevron leather. Antique gold-toned hardware. 12 card slots and three bill compartments. Zip coin pocket. Zip around closure.</p><p>Dimensions: W19cm x H10.5cm x D2cm.</p><p>Made in Italy.</p>,Women,Accessories,Gucci
GG Marmont small matelassé shoulder bag,"<p>Made in matelassé chevron leather with a heart on the back in a light shade of blue, the recognizable small GG Marmont chain shoulder bag has a softly structured shape and a flap closure with Double G hardware.</p><p>Designed to be worn multiple ways, the chain strap slides to change between a shoulder and a top handle bag.</p><p>Pastel blue matelassé chevron leather with heart. Palladium-toned hardware.</p><p>Microfibre lining with a suede-like finish. Interior zipper pocket. </p><p>Sliding chain strap can be worn as a shoulder strap with 55cm drop or can be worn as a top handle with 30cm drop. Flap with spring closure.</p><p>Small size: W26cm x H15cm x D7cm. This item can fit a cell phone up to W78mm x H158mm x D8mm. The Gucci card case wallet will fit inside this product. Weight: 0.7kg approximately.</p><p>Made in Italy.</p>",Women,Bags,Gucci
GG Marmont mini bag,<p>GG Marmont super mini bag in matelassé leather with a diagonal stripes.</p><p>The small accessory is completed with a textured version of the Double G—a contemporary take on an archival detail from the '70s.</p><p>Black diagonal matelassé leather with a vintage effect. Cerise leather trim with a vintage effect. Antique gold-toned hardware. Detachable key ring. Detachable chain strap with 60cm drop. Magnetic closure.</p><p>Super mini size: W17.5cm x H11.5cm x D4cm Weight: 0.3kg approximately.</p><p>Made in Italy.</p>,Women,Accessories,Gucci
New Ace Wooster sneaker,"<p>White leather. Green and red Web stripe. Red 'Gucci' embroidery on one shoe and '63 Wooster' embroidery on the other. Back red leather detail. </p><p>Rubber sole, 15mm height.</p><p>Made in Italy.</p>",Women,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
GG Marmont extra small matelassé shoulder bag,"<p>Made in matelassé chevron leather with a heart on the back in a light shade of yellow, the recognizable GG Marmont mini bag has a softly structured shape and a flap closure with Double G hardware.</p><p>Designed to be worn multiple ways, the chain strap slides to change between a shoulder and a top handle bag.</p><p>Pastel yellow matelassé chevron leather with heart . Palladium-toned hardware. Internal open pocket for larger phones.</p><p>Sliding chain strap can be worn as a shoulder strap with 55cm drop or can be worn as a top handle with 30cm drop. Can also be worn cross body. Flap with spring closure.</p><p>Microfiber lining with a suede-like finish.</p><p>Mini size: W22cm x H13cm x D6cm. This item can fit a cell phone up to W78mm x H158mm x D8mm. The Gucci card case wallet will fit inside this product. Weight: 0.6kg approximately.</p><p>Made in Italy.</p>",Women,Bags,Gucci
Pursuit slide rubber quilt,"<p>The slide sandal in black rubber with a geometric, quilted effect.</p><p>The coveted style is finished with an embossed Double G detail, paying homage to the initials of the founder of the House.</p><p>Black quilted GG rubber. Molded rubber footbed Gucci trademark. Rubber sole. Flat (20mm height).</p><p>Made in Italy.</p>",Women,Shoes,Gucci
